Date,Open,High,Low,Close,Adj Close,Volume
8/1/2019,2568.11,2579.82,2547.56,2574.41,2574.41,4083030000.00
9/1/2019,2580.00,2595.32,2568.89,2584.96,2584.96,4052480000.00
10/1/2019,2573.51,2597.82,2562.02,2596.64,2596.64,3704500000.00
11/1/2019,2588.11,2596.27,2577.40,2596.26,2596.26,3434490000.00
1/14/2019,2580.31,2589.32,2570.41,2582.61,2582.61,3664450000.00
1/15/2019,2585.10,2613.08,2585.10,2610.30,2610.30,3572330000.00
1/16/2019,2614.75,2625.76,2612.68,2616.10,2616.10,3863770000.00
1/17/2019,2609.28,2645.06,2606.36,2635.96,2635.96,3772270000.00
1/18/2019,2651.27,2675.47,2647.58,2670.71,2670.71,3986730000.00
1/22/2019,2657.88,2657.88,2617.27,2632.90,2632.90,3908030000.00
1/23/2019,2643.48,2653.19,2612.86,2638.70,2638.70,3335610000.00
1/24/2019,2638.84,2647.20,2627.01,2642.33,2642.33,3433250000.00
1/25/2019,2657.44,2672.38,2657.33,2664.76,2664.76,3814080000.00
1/28/2019,2644.97,2644.97,2624.06,2643.85,2643.85,3612810000.00
1/29/2019,2644.89,2650.93,2631.05,2640.00,2640.00,3504200000.00
1/30/2019,2653.62,2690.44,2648.34,2681.05,2681.05,3867810000.00
1/31/2019,2685.49,2708.95,2678.65,2704.10,2704.10,4917650000.00
1/2/2019,2702.32,2716.66,2696.88,2706.53,2706.53,3759270000.00
4/2/2019,2706.49,2724.99,2698.75,2724.87,2724.87,3359840000.00
5/2/2019,2728.34,2738.98,2724.03,2737.70,2737.70,3560430000.00
6/2/2019,2735.05,2738.08,2724.15,2731.61,2731.61,3472690000.00
7/2/2019,2717.53,2719.32,2687.26,2706.05,2706.05,4099490000.00
8/2/2019,2692.36,2708.07,2681.83,2707.88,2707.88,3622330000.00
11/2/2019,2712.40,2718.05,2703.79,2709.80,2709.80,3361970000.00
12/2/2019,2722.61,2748.19,2722.61,2744.73,2744.73,3827770000.00
2/13/2019,2750.30,2761.85,2748.63,2753.03,2753.03,3670770000.00
2/14/2019,2743.50,2757.90,2731.23,2745.73,2745.73,3836700000.00
2/15/2019,2760.24,2775.66,2760.24,2775.60,2775.60,3641370000.00
2/19/2019,2769.28,2787.33,2767.29,2779.76,2779.76,3533710000.00
2/20/2019,2779.05,2789.88,2774.06,2784.70,2784.70,3835450000.00
2/21/2019,2780.24,2781.58,2764.55,2774.88,2774.88,3559710000.00
2/22/2019,2780.67,2794.20,2779.11,2792.67,2792.67,3427810000.00
2/25/2019,2804.35,2813.49,2794.99,2796.11,2796.11,3804380000.00
2/26/2019,2792.36,2803.12,2789.47,2793.90,2793.90,3645680000.00
2/27/2019,2787.50,2795.76,2775.13,2792.38,2792.38,3767130000.00
2/28/2019,2788.11,2793.73,2782.51,2784.49,2784.49,4396930000.00
1/3/2019,2798.22,2808.02,2787.38,2803.69,2803.69,3972280000.00
4/3/2019,2814.37,2816.88,2767.66,2792.81,2792.81,3919810000.00
5/3/2019,2794.41,2796.44,2782.97,2789.65,2789.65,3585690000.00
6/3/2019,2790.27,2790.27,2768.69,2771.45,2771.45,3786600000.00
7/3/2019,2766.53,2767.25,2739.09,2748.93,2748.93,3904860000.00
8/3/2019,2730.79,2744.13,2722.27,2743.07,2743.07,3423130000.00
11/3/2019,2747.61,2784.00,2747.61,2783.30,2783.30,3749030000.00
12/3/2019,2787.34,2798.32,2786.73,2791.52,2791.52,3414230000.00
3/13/2019,2799.78,2821.24,2799.78,2810.92,2810.92,3766150000.00
3/14/2019,2810.38,2815.00,2803.46,2808.48,2808.48,3469730000.00
3/15/2019,2810.79,2830.73,2810.79,2822.48,2822.48,5962730000.00
3/18/2019,2822.61,2835.41,2821.99,2832.94,2832.94,3552190000.00
3/19/2019,2840.76,2852.42,2823.27,2832.57,2832.57,3620220000.00
3/20/2019,2831.34,2843.54,2812.43,2824.23,2824.23,3771200000.00
3/21/2019,2819.72,2860.31,2817.38,2854.88,2854.88,3546800000.00
3/22/2019,2844.52,2846.16,2800.47,2800.71,2800.71,4237200000.00
3/25/2019,2796.01,2809.79,2785.02,2798.36,2798.36,3376580000.00
3/26/2019,2812.66,2829.87,2803.99,2818.46,2818.46,3266050000.00
3/27/2019,2819.72,2825.56,2787.72,2805.37,2805.37,3372930000.00
3/28/2019,2809.40,2819.71,2798.77,2815.44,2815.44,3158170000.00
3/29/2019,2828.27,2836.03,2819.23,2834.40,2834.40,3740700000.00
1/4/2019,2848.63,2869.40,2848.63,2867.19,2867.19,3500760000.00
2/4/2019,2868.24,2872.90,2858.75,2867.24,2867.24,3246900000.00
3/4/2019,2876.09,2885.25,2865.17,2873.40,2873.40,3550240000.00
